"Subject","Difficulty","Question","Option_A","Option_B","Option_C","Option_D","Correct_Answer","Explanation","Chapter"
"Maths","Hard","Inverse of function f(x)=3x+4 is?","(x-4)/3","3x-4","x/3+4","4-3x","Option_A","Set y=3x+4, solve for x.","Functions"
"Maths","Hard","If A={a,b}, number of subsets?","2","3","4","1","Option_C","n=2, 2ⁿ=4 subsets.","Sets"
"Maths","Hard","The quadratic equation with roots 2 and −3 is?","x²+x−6=0","x²−x−6=0","x²−5x+6=0","x²+5x+6=0","Option_A","(x−2)(x+3)=x²+x−6.","Quadratics"
"Maths","Hard","The value of tan(0°)?","0","1","Undefined","∞","Option_A","tan(0°)=0/1=0.","Trigonometry"
"Maths","Hard","Matrix product [[1,2],[3,4]]*[[0,1],[1,0]] is?","[[2,1],[4,3]]","[[1,0],[0,1]]","[[2,3],[1,4]]","[[1,2],[3,4]]","Option_A","Perform the multiplication row by column.","Matrices"
"Maths","Hard","What is ∫x·dx?","x","x²/2+C","ln(x)+C","eˣ+C","Option_B","∫x dx = x²/2 + C.","Integration"
"Maths","Hard","Derivative of ln(x) is?","x","1/x","ln(x)","eˣ","Option_B","d/dx ln(x) = 1/x.","Differentiation"
"Maths","Hard","What is the sum to n terms of AP a, a+d, a+2d...?","na","n/2[2a+(n−1)d]","n[n−1]/2","nd","Option_B","Sum=Sₙ=n/2[2a+(n−1)d].","Arithmetic Progression"
"Maths","Hard","If f(x)=sin(x), then f''(x)=?","−sin(x)","cos(x)","−cos(x)","sin(x)","Option_A","d²/dx² sin(x) = −sin(x).","Differentiation"
"Biology","Easy","Which vitamin is known as sunshine vitamin?","Vitamin A","Vitamin C","Vitamin D","Vitamin K","Option_C","Vitamin D is synthesized in skin with sunlight.","Nutrition"
"Biology","Easy","Which organ purifies blood in the human body?","Heart","Lungs","Kidney","Liver","Option_C","Kidney filters waste from blood.","Excretion"
"Biology","Easy","Largest gland in the human body?","Pancreas","Liver","Adrenal","Thyroid","Option_B","Liver is largest gland.","Endocrine Glands"
"Biology","Easy","The process by which plants lose water as vapor?","Osmosis","Transpiration","Respiration","Photosynthesis","Option_B","Loss of water by leaves is transpiration.","Plant Physiology"
"Biology","Easy","The basic living structural unit in an organism is?","Tissue","Cell","Organ","Nucleus","Option_B","Cell is the smallest unit of life.","Cell Biology"
"Biology","Easy","Which pigment gives green color to plants?","Chlorophyll","Xanthophyll","Carotene","Haemoglobin","Option_A","Chlorophyll absorbs light for photosynthesis.","Photosynthesis"
"Biology","Easy","Which blood component carries oxygen?","White blood cell","Red blood cell","Platelets","Plasma","Option_B","Red cells have haemoglobin for oxygen transport.","Blood"
"Biology","Easy","Plant tissue that conducts water?","Phloem","Xylem","Cambium","Cortex","Option_B","Xylem transports water and minerals.","Plant Anatomy"
"Biology","Easy","The study of insects is called?","Ichthyology","Entomology","Ornithology","Herpetology","Option_B","Entomology is study of insects.","Taxonomy"
"Biology","Easy","Who discovered penicillin?","Fleming","Pasteur","Koch","Salk","Option_A","Alexander Fleming discovered penicillin.","Microbiology"
"Biology","Medium","Eye color is due to?","Keratin","Melanin","Lipids","Collagen","Option_B","Melanin determines color of eye and skin.","Genetics"
"Biology","Medium","Which part of the cell contains genetic material?","Cytoplasm","Nucleus","Mitochondria","Cell wall","Option_B","Genes/DNA are in the nucleus.","Cell Biology"
"Biology","Medium","Human body’s smallest bone is in the?","Nose","Ear","Hand","Leg","Option_B","Stapes in middle ear is the smallest bone.","Anatomy"
"Biology","Medium","Process of cell division is?","Osmosis","Mitosis","Transpiration","Respiration","Option_B","Mitosis creates two identical cells.","Cell Division"
"Biology","Medium","Sweat glands are abundant in which part?","Forehead","Sole of foot","Back","Chest","Option_B","Greatest in soles and palms for cooling.","Anatomy"
"Biology","Medium","Leaves appear green because?","Absorb all light","Reflect green light","Absorb green light","Reflect red light","Option_B","Chlorophyll reflects green part of spectrum.","Photosynthesis"
"Biology","Medium","What is the function of ribosomes?","Energy production","Protein synthesis","Digestion","Water storage","Option_B","Ribosomes assemble proteins from amino acids.","Cell Biology"
"Biology","Medium","The longest cell in human body?","Epithelial cell","Sperm cell","Neuron","Red blood cell","Option_C","Neurons may extend over a meter in length.","Nervous System"
"Biology","Medium","Which process removes carbon dioxide from blood?","Excretion","Respiration","Digestion","Micturition","Option_B","Lungs eliminate CO₂ in respiration.","Respiratory System"
"Biology","Medium","The main excretory product in humans?","Ammonia","Urea","Uric acid","Lactic acid","Option_B","Urea is formed in the liver and excreted in urine.","Excretion"
"Biology","Medium","Process of water movement in plants through xylem?","Absorption","Osmosis","Transpiration pull","Active transport","Option_C","Transpiration pull draws water upward.","Plant Transport"
"Biology","Hard","What does the malpighian body of nephron include?","Loop of Henle","Glomerulus and Bowman's capsule","Proximal tubule","Collecting duct","Option_B","Malpighian body = glomerulus + Bowman's capsule.","Excretion"
"Biology","Hard","Down syndrome is caused by trisomy of which chromosome?","13","18","21","11","Option_C","Trisomy-21 causes Down syndrome.","Genetics"
"Biology","Hard","Which enzyme digests protein in the stomach?","Pepsin","Trypsin","Amylase","Lipase","Option_A","Pepsin is secreted by gastric glands.","Digestive System"
"Biology","Hard","Primary function of platelets?","Immunity","Oxygen transport","Blood clotting","Hormone transport","Option_C","Platelets release factors for clotting.","Blood"
"Biology","Hard","Which structure connects muscles to bones?","Tendon","Ligament","Neuron","Cartilage","Option_A","Tendons attach muscles to bones.","Musculoskeletal System"
"Biology","Hard","Which hormone prepares the uterus for implantation?","Estrogen","Progesterone","FSH","Prolactin","Option_B","Progesterone maintains uterine lining post-ovulation.","Human Reproduction"
"Biology","Hard","What is the genetic material of retroviruses?","DNA","RNA","Protein","Lipid","Option_B","Retroviruses have RNA as their genetic material.","Virology"
"Biology","Hard","Universal acceptor blood group is?","O","A","B","AB","Option_D","AB group can accept A, B, O, or AB blood.","Blood Groups"
"Physics","Easy","What is the basic unit of electric charge?","Volt","Coulomb","Ampere","Farad","Option_B","Charge is measured in Coulombs (C).","Electrostatics"
"Physics","Easy","The resistance of an ideal voltmeter is?","Zero","One Ohm","Very high","Very low","Option_C","Ideal voltmeters have infinite resistance to avoid drawing current.","Current Electricity"
"Physics","Easy","SI unit of power is?","Newton","Joule","Pascal","Watt","Option_D","Power is the rate of doing work, measured in Watts (W).","Work, Power and Energy"
"Physics","Easy","What is the value of g on Earth’s surface in cm/s²?","980","9.8","9800","98","Option_A","9.8 m/s² = 980 cm/s².","Gravitation"
"Physics","Medium","What is the function of fuse in an electric circuit?","To make path complete","To increase voltage","To prevent overheating","To stop direct current","Option_C","A fuse breaks the circuit during overload.","Current Electricity"
"Physics","Medium","Power of a lens of focal length 50 cm?","+2 D","+0.5 D","+5 D","+10 D","Option_C","Power (P) = 100/f(cm) → 100/20 = 5D.","Ray Optics"
"Physics","Medium","Which law states the magnetic field is directly proportional to current?","Ohm’s Law","Faraday’s Law","Ampere’s Circuital Law","Kirchhoff’s Law","Option_C","Ampere’s law relates magnetic field and current in a loop.","Magnetism and Matter"
"Physics","Medium","A convex lens forms a real, inverted, and same-size image if the object is at?","Infinity","Focus","2F","F/2","Option_C","At 2F, image is real, inverted and same size.","Ray Optics"
"Physics","Hard","The dimensional formula of pressure is?","ML⁻¹T⁻²","MLT⁻²","ML²T²","M⁻¹LT²","Option_A","Pressure = Force/Area = (MLT⁻²)/L² = ML⁻¹T⁻².","Units and Dimensions"
"Physics","Hard","The flux through a closed surface is zero when?","No charge inside","Single charge present","Magnet inside","Field is radial","Option_A","Gauss's Law: ∮E·dA = q_enc/ε₀. If q_enc = 0, flux = 0.","Electrostatics"
"Chemistry","Easy","The chemical formula of quicklime is?","CaCO₃","Ca(OH)₂","CaO","CaCl₂","Option_C","Quicklime is calcium oxide (CaO).","Acids, Bases and Salts"
"Chemistry","Easy","Gas used in soft drinks is?","Nitrogen","Carbon dioxide","Oxygen","Helium","Option_B","CO₂ is dissolved to make the drink fizzy.","Environmental Chemistry"
"Chemistry","Easy","Which indicator turns pink in basic solution?","Litmus","Methyl orange","Phenolphthalein","China rose","Option_C","Phenolphthalein is colorless in acid, pink in base.","Acids and Bases"
"Chemistry","Medium","Element that shows variable valency is?","Sodium","Chlorine","Calcium","Iron","Option_D","Fe²⁺ and Fe³⁺ are common oxidation states of iron.","Periodic Table"
"Chemistry","Medium","Which compound is used in the whitewashing of walls?","Quicklime","Slaked lime","Plaster of Paris","Gypsum","Option_B","Ca(OH)₂ reacts with CO₂ to give shiny white coating.","Acids, Bases and Salts"
"Chemistry","Medium","The oxide which is amphoteric is?","Na₂O","MgO","Al₂O₃","Cl₂O","Option_C","Al₂O₃ reacts both with acids and bases.","Acid-Base Properties"
"Chemistry","Medium","Name the allotrope of carbon that conducts electricity:","Diamond","Graphite","Fullerene","Charcoal","Option_B","Graphite has free electrons (delocalized pi electrons).","Carbon and Its Compounds"
"Chemistry","Hard","Bronze is an alloy of?","Copper and Zinc","Copper and Tin","Iron and Zinc","Aluminum and Copper","Option_B","Bronze = Cu + Sn. Common in sculptures, coins etc.","Metals and Non-Metals"
"Chemistry","Hard","Which of the following does NOT show hydrogen bonding?","HF","NH₃","HCl","H₂O","Option_C","HCl does not form hydrogen bonds; electronegativity of Cl is lower than O, N, or F.","Intermolecular Forces"
"Chemistry","Hard","Which acid is used in car batteries?","Nitric acid","Hydrochloric acid","Sulfuric acid","Acetic acid","Option_C","Dilute sulfuric acid functions as the electrolyte in lead-acid batteries.","Chemistry in Everyday Life"
"Maths","Easy","What is 25% of 80?","20","40","15","60","Option_A","25/100 × 80 = 20.","Percentages"
"Maths","Easy","What is the LCM of 8 and 12?","24","36","48","12","Option_A","Multiple of both: 8, 16, 24... and 12, 24... First common: 24.","Number Theory"
"Maths","Easy","The square of (-3) is?","-9","9","6","0","Option_B","(-3)² = 9.","Basic Algebra"
"Maths","Easy","Value of √121 is?","11","12","10","13","Option_A","√121 = 11.","Roots and Powers"
"Maths","Medium","Evaluate: (3 + 2x)(3 - 2x)","9 - 4x²","9 + 4x²","6x","x² - 6","Option_A","Using (a+b)(a-b) = a² - b² → 9 - 4x².","Algebraic Identities"
"Maths","Medium","The next number in the AP: 2, 5, 8, 11, ... is?","12","15","14","13","Option_C","Common difference d = 3; next = 11 + 3 = 14.","Arithmetic Progressions"
"Maths","Medium","Which of the following is a rational number?","√2","π","0.75","e","Option_C","0.75 = 3/4, which is rational.","Number Systems"
"Maths","Medium","Find the area of triangle with base 5 units and height 4 units.","10","15","20","25","Option_A","A = ½ × base × height = ½ × 5 × 4 = 10.","Geometry"
"Maths","Hard","Find ∫cos(x) dx.","sin(x) + C","−sin(x) + C","cos(x) + C","sec(x) + C","Option_A","Integration of cos(x) is sin(x) + constant.","Integration"
"Maths","Hard","tan²θ + 1 equals?","cot²θ","sec²θ","cosec²θ","tanθ","Option_B","Trigonometric identity: tan²θ + 1 = sec²θ.","Trigonometry"
"Biology","Easy","Which part of the plant forms fruits?","Root","Leaf","Ovary","Sepal","Option_C","Ovary ripens to form the fruit post fertilization.","Plant Reproduction"
"Biology","Easy","Animals that eat both plants and animals are called?","Herbivores","Carnivores","Omnivores","Autotrophs","Option_C","Omnivores include humans, bears etc.","Nutrition in Animals"
"Biology","Easy","What protects the lungs in human body?","Skull","Rib cage","Backbone","Pelvis","Option_B","Ribs form a bony cage around lungs and heart.","Respiration"
"Biology","Medium","Which among the following carries sensory impulses to the brain?","Veins","Arteries","Sensory neurons","Motor neurons","Option_C","Sensory neurons transmit impulses to CNS.","Nervous System"
"Biology","Medium","A liver enzyme that breaks down hydrogen peroxide is?","Pepsin","Catalase","Trypsin","Amylase","Option_B","Catalase decomposes toxic H₂O₂ to water and O₂.","Enzymes"
"Biology","Medium","Which blood vessel carries oxygen-rich blood from lungs to heart?","Pulmonary artery","Vena cava","Pulmonary vein","Aorta","Option_C","Pulmonary vein carries oxygenated blood from lungs.","Circulatory System"
"Biology","Hard","In Mendel’s law of segregation, alleles separate during?","Fertilization","Pollination","Gamete formation","Cross-breeding","Option_C","Alleles segregate during meiosis to form gametes.","Genetics"
"Biology","Hard","Pancreatic juice contains which enzyme?","Pepsin","Lipase","Trypsin","Both B and C","Option_D","Both lipase and trypsin are secreted by pancreas.","Digestive System"
"Biology","Hard","Which part of brain controls posture and balance?","Cerebrum","Cerebellum","Medulla","Hypothalamus","Option_B","Cerebellum maintains body equilibrium.","Human Nervous System"
"Biology","Hard","Which human chromosome pair determines gender?","Autosomes 1–22","Chromosome pair 23","Chromosome 21","Mitochondria","Option_B","23rd pair: XX (female), XY (male).","Genetics"
"Physics","Easy","The SI unit of capacitance is?","Henry","Farad","Tesla","Weber","Option_B","Capacitance is measured in Farads.","Electrostatics"
"Physics","Easy","The device that converts sound energy into electrical energy?","Electric motor","Microphone","Loudspeaker","Generator","Option_B","Microphone converts sound into electrical signals.","Sound"
"Physics","Easy","Which law states that current is directly proportional to voltage at constant temperature?","Coulomb's Law","Ohm's Law","Faraday's Law","Newton's Law","Option_B","Ohm’s Law: V = IR.","Current Electricity"
"Physics","Easy","Which of the following is not a source of renewable energy?","Solar energy","Biomass","Coal","Wind energy","Option_C","Coal is non-renewable.","Energy Resources"
"Physics","Easy","The boiling point of water at sea level in Celsius is?","90°C","80°C","100°C","120°C","Option_C","At standard pressure, water boils at 100°C.","Heat"
"Physics","Medium","Escape velocity is dependent on which of the following?","Mass of the object","Height of the object","Gravitational field of the celestial body","Direction of throw","Option_C","Escape velocity depends on the planet’s mass and radius.","Gravitation"
"Physics","Medium","The main principle of working of the hydraulic lift is?","Pascal's Law","Newton's Law","Archimedes’ Principle","Boyle's Law","Option_A","Pressure applied to a confined fluid is transmitted undiminished.","Fluids"
"Physics","Medium","A sound wave of frequency 500 Hz has a wavelength of 0.66 m. Find its velocity.","330 m/s","300 m/s","250 m/s","120 m/s","Option_A","v = fλ = 500 × 0.66 = 330 m/s.","Waves and Sound"
"Physics","Medium","Which physical quantity is measured by a manometer?","Pressure","Temperature","Current","Voltage","Option_A","Manometer measures pressure.","Pressure"
"Physics","Medium","In transformers, the ratio of secondary to primary voltage is equal to the ratio of?","Turns of wire","Core lengths","Frequencies","Resistances","Option_A","V_s/V_p = N_s/N_p.","Electromagnetic Induction"
"Physics","Hard","Photoelectric effect provides evidence for:","Wave nature of light","Scalar nature of charge","Particle nature of light","Reflection of X-rays","Option_C","Light ejects electrons as photons.","Modern Physics"
"Physics","Hard","Dimensional formula of work is?","MLT^-2","ML^2T^-2","M^2L^2T^-2","ML^2T^-1","Option_B","Work = Force × Distance = (MLT^-2) × L = ML^2T^-2.","Units and Dimensions"
"Physics","Hard","Which radiation has the smallest wavelength?","Infrared","Visible","Ultraviolet","Gamma rays","Option_D","Gamma rays have the shortest wavelength.","Electromagnetic Spectrum"
"Physics","Hard","A projectile has its maximum range when the angle of projection is?","30°","45°","60°","90°","Option_B","Max range at θ=45°.","Motion in Two Dimensions"
"Physics","Hard","If a body is dropped from a height h, its velocity upon reaching the ground is?","√2gh","gh^2","2gh","h/g","Option_A","Final velocity v = √(2gh) from equations of motion.","Kinematics"
"Physics","Easy","Absolute zero temperature is equal to how many kelvin?","0 K","273 K","100 K","32 K","Option_A","Absolute zero is 0 K, where all molecular motion stops.","Thermodynamics"
"Physics","Easy","Who discovered X-rays?","Roentgen","Rutherford","Bohr","Faraday","Option_A","Wilhelm Roentgen discovered X-rays in 1895.","Modern Physics"
"Physics","Easy","Which device is used to measure atmospheric humidity?","Barometer","Hygrometer","Anemometer","Ammeter","Option_B","A hygrometer measures humidity.","Physical Quantities"
"Physics","Easy","Unit of radioactivity is?","Watt","Becquerel","Coulomb","Pascal","Option_B","Radioactivity is measured in Becquerel (Bq).","Modern Physics"
"Physics","Easy","What is the natural source of energy for photosynthesis?","Earth","Moon","Sun","Wind","Option_C","Sunlight is essential for photosynthesis.","Energy"
"Physics","Medium","Magnetic field inside a long current-carrying solenoid is?","Constant","Zero","Inversely proportional to current","Variable","Option_A","Within a solenoid, the field is uniform and constant.","Magnetism"
"Physics","Medium","Which physical quantity is calculated as work/time?","Energy","Force","Heat","Power","Option_D","Power measures the rate of work done.","Work, Power, Energy"
"Physics","Medium","Frequency of AC supply in India is?","60 Hz","50 Hz","100 Hz","25 Hz","Option_B","AC supply in India has frequency of 50 Hz.","Alternating Current"
"Physics","Medium","What is the number of fundamental forces in nature?","2","3","4","5","Option_C","There are four: gravitational, electromagnetic, strong, and weak.","Forces"
"Physics","Medium","Centripetal force acts?","Towards the center","Away from the center","Tangentially","Vertically up","Option_A","Centripetal means 'center seeking'.","Circular Motion"
"Physics","Hard","The work done by friction in a closed path is?","Maximum","Zero","Negative","Positive","Option_C","Friction always opposes motion; work done is negative.","Work, Power, Energy"
"Physics","Hard","Wavefront concept was introduced by?","Young","Newton","Huygens","Fresnel","Option_C","Huygens' principle is the foundation of wavefront theory.","Waves"
"Physics","Hard","If the time period of a pendulum is doubled, its length becomes?","Four times","Doubled","Halved","One-fourth","Option_A","Time period T ∝ √L, so T doubles if L increases fourfold.","Oscillations and Waves"
"Physics","Hard","Total internal reflection takes place when light travels from?","Air to water","Water to air","Glass to diamond","Vacuum to air","Option_B","From denser to rarer medium with angle > critical.","Optics"
"Physics","Hard","The charge of an alpha particle is?","+2e","+e","−2e","+3e","Option_A","Alpha particle is a helium nucleus (2 protons).","Atomic Structure"
"Physics","Easy","Which device is used to measure potential difference?","Voltmeter","Ammeter","Galvanometer","Potentiometer","Option_A","A voltmeter is connected in parallel to measure voltage.","Current Electricity"
"Physics","Easy","The SI unit of electric field is?","Volt","Newton/Coulomb","Joule","Tesla","Option_B","Electric field is measured in Newton per Coulomb.","Electrostatics"
"Physics","Easy","What type of lens forms a real and inverted image for a distant object?","Concave lens","Convex lens","Plano-convex lens","Cylindrical lens","Option_B","Convex lens forms real and inverted images except when the object is between the focus and the lens.","Ray Optics"
"Physics","Easy","Which force is responsible for holding planets in their orbits?","Frictional force","Gravitational force","Electrostatic force","Magnetic force","Option_B","Gravitational pull by the Sun holds planets in orbit.","Gravitation"
"Physics","Medium","In a series circuit, the current through each resistor is?","Different","Zero","Same","Infinite","Option_C","In series, same current flows through all components.","Current Electricity"
"Physics","Medium","Specific heat of a substance is defined as?","Heat required to raise temp of 1kg by 1°C","Total heat in a body","Change of state","Latent heat","Option_A","Specific heat is heat needed per unit mass per degree rise.","Heat"
"Physics","Medium","Which particle is responsible for current in household wires?","Protons","Neutrons","Electrons","Photons","Option_C","Current in conductors is due to moving electrons.","Current Electricity"
"Physics","Medium","The main function of a commutator in an electric motor is to?","Change direction of current","Increase voltage","Decrease resistance","Produce sound","Option_A","Commutator reverses current to maintain rotation direction.","Electromagnetism"
"Physics","Hard","A tuning fork vibrates with frequency 512 Hz and speed of sound is 340 m/s. Find the wavelength.","0.66 m","1.5 m","0.49 m","1.23 m","Option_A","λ = v/f = 340 / 512 ≈ 0.66 m.","Waves and Sound"
"Physics","Hard","Which law relates line integral of magnetic field around a closed path to current passing?","Faraday’s Law","Ampere’s Law","Lenz’s Law","Kirchhoff’s Law","Option_B","Ampere’s Law: ∮B·dl=μ₀I_enc.","Magnetism"
"Physics","Easy","Which device converts chemical energy to electrical energy?","Battery","Bulb","Speaker","Transformer","Option_A","Batteries convert chemical energy into electrical energy for circuits.","Sources of Energy"
"Physics","Easy","The SI unit of force is?","Joule","Pascal","Newton","Watt","Option_C","1 Newton = 1 kg·m/s², is the SI unit of force.","Laws of Motion"
"Physics","Easy","A convex lens always has which edge property?","Thicker at edges","Thicker at center","Equal thickness","Variable thickness","Option_B","Convex lenses are thicker at the center than the edges.","Ray Optics"
"Physics","Easy","Common use of a prism is?","Focusing rays","Measuring time","Dispersion of light","Electric charging","Option_C","Prisms disperse white light into its component colors.","Optics"
"Physics","Easy","SI unit of work is?","Newton","Coulomb","Joule","Henry","Option_C","Work is measured in joules (J).","Work and Energy"
"Physics","Easy","Instrument to measure potential difference is?","Galvanometer","Ammeter","Voltmeter","Hygrometer","Option_C","A voltmeter is used to measure potential difference (voltage).","Current Electricity"
"Physics","Easy","Weight of an object is measured using?","Thermometer","Barometer","Spring balance","Galvanometer","Option_C","Spring balance measures the force of gravity on mass (weight).","Physical Quantities"
"Physics","Easy","Main function of an electric fuse?","Connect wires","Prevent overheating","Store charge","Reduce voltage","Option_B","Fuse melts to prevent overheating/circuit damage during high current.","Electricity"
"Physics","Easy","Device used to study stars and planets?","Microscope","Telescope","Spectrometer","Periscope","Option_B","Telescope is major instrument for astronomy.","Optical Instruments"
"Physics","Easy","What is the normal temperature of a healthy human in °C?","40","98.6","37","45","Option_C","37 °C (or 98.6°F) is normal body temperature.","Heat"
"Physics","Medium","Magnetic field in a solenoid is given by?","μ0ni","μ0ni²","μ0/i","μ0n/i","Option_A","Magnetic field B = μ₀nI for ideal solenoid.","Magnetism"
"Physics","Medium","When distance between two charges is tripled, force between them becomes?","1/3","1/6","1/9","3 times","Option_C","Force follows inverse square law (F ∝ 1/r²).","Electrostatics"
"Physics","Medium","Kirchhoff’s first law is based on which conservation?","Energy","Momentum","Charge","Mass","Option_C","It’s conservation of charge at a node.","Current Electricity"
"Physics","Medium","Which voltage is generally used in household electrical supply?","110 V","220 V","12 V","440 V","Option_B","In India, normal supply is 220 V AC.","Electricity"
"Physics","Medium","Power dissipated in a resistor is given by?","VI","IR","V/I","I/V","Option_A","P = VI (Power = Voltage x Current).","Energy and Power"
"Physics","Medium","Primary source of Earth's magnetic field?","Iron ore","Molten core movement","Moon","Ocean currents","Option_B","Movement of molten iron generates magnetic field.","Magnetism"
"Physics","Medium","Rate of change of displacement w.r.t. time is called?","Speed","Velocity","Acceleration","Force","Option_B","Velocity = derivative of displacement.","Kinematics"
"Physics","Medium","Refractive index of a medium is always?","Equal to 1","Less than 1","Greater than or equal to 1","Negative","Option_C","It’s ratio of c/v; always ≥1 for material media.","Optics"
"Physics","Medium","Name the law: equal volumes of different gases under similar conditions contain same number of molecules.","Boyle's","Charles'","Avogadro's","Dalton's","Option_C","Avogadro’s law relates volume and number of molecules.","Gas Laws"
"Physics","Medium","Dimensional formula of momentum is?","MLT^-2","MLT^-1","ML^2T^-2","ML^2T^-1","Option_B","Momentum = mass x velocity = MLT^-1.","Laws of Motion"
"Physics","Hard","The force required to charge a capacitor is called?","Electrostatic force","Magnetic force","Work function","Inductive force","Option_A","Electrostatic force depends on separation and charge.","Capacitance"
"Physics","Hard","The ratio of kinetic to potential energy in SHM at mean position?","Zero","1","Infinity","0.5","Option_C","Potential energy at mean is zero; ratio becomes infinite.","Oscillations"
"Physics","Hard","Dimensional formula for universal gas constant R?","ML^2T^-2K^-1","M^0L^2T^-2K^-1","ML^0T^-2K^-1","M^1L^1T^-3K^-2","Option_A","R = PV/nT, so [R] = [Work]/[Temperature].","Thermodynamics"
"Physics","Hard","The time taken for a radioactive substance to reduce to half its original mass is called?","Average life","Quarter time","Half-life","Decay constant","Option_C","Half-life is the time to reduce mass/activity to half.","Modern Physics"
"Physics","Hard","The process of heat transfer in solids occurs mainly by?","Convection","Radiation","Conduction","Induction","Option_C","Conduction is the main mechanism in solids.","Heat Transfer"
"Chemistry","Easy","H₂SO₄ is commonly known as?","Aqua regia","Battery acid","Sulfuric acid","Hydrochloric acid","Option_C","H₂SO₄ is sulfuric acid/king of chemicals.","Acids, Bases and Salts"
"Chemistry","Easy","Plaster of Paris is prepared by heating?","Gypsum","Quicklime","Limestone","Sand","Option_A","Gypsum partially dehydrated gives Plaster of Paris.","Chemical Compounds"
"Chemistry","Easy","The hardest natural substance on Earth is?","Iron","Gold","Diamond","Graphite","Option_C","Diamond (carbon) is hardest naturally occurring substance.","Allotropes"
"Chemistry","Easy","Chemical formula for Bleaching powder?","CaOCl₂","CaCO₃","NH₄Cl","KCl","Option_A","Bleaching powder: calcium oxychloride (CaOCl₂).","Important Compounds"
"Chemistry","Easy","Green color of leaves is due to?","Carotene","Chlorophyll","Xanthophyll","Anthocyanin","Option_B","Chlorophyll reflects green wavelengths.","Biomolecules"
"Chemistry","Easy","Which element forms the backbone of organic chemistry?","Hydrogen","Nitrogen","Carbon","Oxygen","Option_C","Organic compounds always contain carbon.","Organic Chemistry"
"Chemistry","Easy","Percentage of nitrogen in atmosphere?","21%","92%","78%","33%","Option_C","Nitrogen makes up 78% by volume of air.","Atmospheric Chemistry"
"Chemistry","Easy","Distilled water is?","Impure","Colloidal","Pure","Miscible","Option_C","Distilled water contains no dissolved salts.","Solutions"
"Chemistry","Easy","Alloys are prepared to?","Increase hardness","Reduce cost","Change melting point","All of these","Option_D","Alloys properties differ from constituent metals; can serve all listed purposes.","Metals and Alloys"
"Chemistry","Easy","Which one is an example for exothermic reaction?","Melting ice","Evaporation","Combustion","Boiling","Option_C","Combustion liberates heat (exothermic).","Thermochemistry"
"Chemistry","Medium","Who is known as father of modern periodic table?","Dmitri Mendeleev","John Dalton","John Newlands","Henry Moseley","Option_A","Mendeleev arranged elements by atomic mass.","Periodic Table"
"Chemistry","Medium","The number of electrons in a chloride ion (Cl−)?","16","17","18","35","Option_C","Cl: 17+1 = 18 electrons.","Structure of Atom"
"Chemistry","Medium","Which is a poor conductor of electricity?","Copper","Gold","Silver","Sulfur","Option_D","Sulfur is a non-metal/poor conductor.","Metals and Non-metals"
"Chemistry","Medium","Name the process to separate sugar from solution?","Decantation","Evaporation","Sedimentation","Filtration","Option_B","Evaporation leaves sugar as residue.","Separation Techniques"
"Chemistry","Medium","Which of these does NOT conduct electricity in solution?","NaCl","Glucose","KOH","NaOH","Option_B","Glucose is covalent, does not ionize.","Electrolytes"
"Chemistry","Medium","Name the element that forms oxide with formula X₂O₃?","Potassium","Aluminum","Calcium","Sodium","Option_B","Al₂O₃ is aluminum oxide.","Periodic Properties"
"Chemistry","Medium","The basic structural unit of proteins is?","Saccharide","Fatty acid","Amino acid","Peptide","Option_C","Proteins are polymers of amino acids.","Biomolecules"
"Chemistry","Medium","Red litmus changes to blue with?","Acid","Base","Salt","Sugar","Option_B","Base turns litmus from red to blue.","Acids and Bases"
"Chemistry","Medium","Which pair forms a substitution reaction?","Ethene + HCl","Methane + Chlorine","Ethene + Water","Benzene + Water","Option_B","Alkane + halogen UV → substitution.","Organic Chemistry"
"Chemistry","Medium","The functional group present in alcohol is?","-COOH","-OH","-CHO","-CO-","Option_B","Alcohols always contain a hydroxyl group.","Organic Chemistry"
"Chemistry","Hard","The process of heating ore in absence of air is?","Calcination","Reduction","Roasting","Decomposition","Option_A","Calcination is done without air; roasting is with air.","Metallurgy"
"Chemistry","Hard","White phosphorous is kept in?","Water","Air","Alcohol","Oil","Option_A","Prevents reaction with atmospheric oxygen, avoids spontaneous ignition.","Allotropes"
"Chemistry","Hard","Which acid is present in vinegar?","Tartaric","Acetic","Formic","Citric","Option_B","Acetic acid (CH₃COOH) gives vinegar its sour taste.","Carboxylic Acids"
"Chemistry","Hard","Which is not an isomer of C₄H₁₀?","n-Butane","Isobutane","Cyclobutane","2-methylpropane","Option_C","Cyclobutane is a cyclic compound, not an isomer.","Hydrocarbons"
"Chemistry","Hard","Name the limiting reagent in the reaction: N₂ + 3H₂ → 2NH₃ if you have 1 mol N₂ and 2 mol H₂","N₂","H₂","NH₃","N/A","Option_B","Stoichiometry: 3 moles H₂ per mole N₂; only 2 moles H₂ is available.","Stoichiometry"
"Chemistry","Hard","Which metal does not form an amalgam?","Gold","Sodium","Iron","Silver","Option_C","Iron does not form an alloy (amalgam) with mercury.","Metals"
"Maths","Easy","Cube root of 27 is?","3","9","6","4","Option_A","³√27 = 3.","Basic Mathematics"
"Maths","Easy","The value of sin(0°) is?","0","1","Undefined","−1","Option_A","sin(0°) = 0.","Trigonometry"
"Maths","Easy","A straight angle measures?","90°","360°","180°","120°","Option_C","A straight angle = 180°.","Geometry"
